Reviews of Modern Physics;journal;ISSN 00346861, 15390756
Annual Review of Immunology;journal;ISSN 07320582, 15453278
Annual Review of Biochemistry;journal;ISSN 15454509, 00664154
Nature Genetics;journal;ISSN 10614036
CA - A Cancer Journal for Clinicians;journal;ISSN 15424863, 00079235
Cell;journal;ISSN 00928674, 10974172
Annual Review of Neuroscience;book serie;ISSN 15454126, 0147006X
Advances in Physics;journal;ISSN 14606976, 00018732
Quarterly Journal of Economics;journal;ISSN 00335533, 15314650
Annual Review of Genetics;journal;ISSN 00664197, 15452948
Physiological Reviews;journal;ISSN 15221210, 00319333
Annual Review of Astronomy and Astrophysics;journal;ISSN 15454282, 00664146
Nature Reviews Molecular Cell Biology;journal;ISSN 14710072, 14710080
Nature Materials;journal;ISSN 14764660, 14761122
Annual Review of Cell and Developmental Biology;book serie;ISSN 15308995, 10810706
Chemical Reviews;journal;ISSN 00092665, 15206890
Nature Immunology;journal;ISSN 15292908, 15292916
Immunity;journal;ISSN 10974180, 10747613
Nature;journal;ISSN 14764687, 00280836
Nature Physics;journal;ISSN 17452473
Cancer Cell;journal;ISSN 15356108
Annual Review of Plant Biology;book serie;ISSN 15435008
Journal of Political Economy;journal;ISSN 00223808, 1537534X
Advances in Optics and Photonics;journal;ISSN 19438206
Nature Cell Biology;journal;ISSN 14657392
Molecular Cell;journal;ISSN 10974164, 10972765
Genes and Development;journal;ISSN 15495477, 08909369
National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System;journal;ISSN 15518930, 15518922
Acta Crystallographica Section A: Foundations and Advances;journal;ISSN 20532733
Journal of Finance;journal;ISSN 15406261, 00221082
Econometrica;journal;ISSN 00129682, 14680262
Rhinology. Supplement;journal;ISSN 10130047
Annual Review of Biophysics;journal;ISSN 1936122X
Review of Financial Studies;journal;ISSN 08939454, 14657368
Annual Review of Genomics and Human Genetics;book serie;ISSN 1545293X, 15278204
Chemical Society Reviews;journal;ISSN 03060012, 14604744
Science;journal;ISSN 00368075
Journal of Experimental Medicine;journal;ISSN 00221007
Nature Reviews Genetics;journal;ISSN 14710056, 14710064
Current Opinion in Cell Biology;journal;ISSN 09550674
Nature Structural and Molecular Biology;journal;ISSN 15459985, 15459993
Annual Review of Pharmacology and Toxicology;journal;ISSN 15454304, 03621642
Journal of Economic Literature;journal;ISSN 00220515
Nature Nanotechnology;journal;ISSN 17483387
Genome Research;journal;ISSN 15495469, 10889051
