Acta medica Indonesiana;journal;ISSN 01259326;0,313;Q2;15;13;170;0;139;160;0,73;0;Indonesia
International Journal of Power Electronics and Drive Systems;journal;ISSN 20888694;0,243;Q3;6;124;182;2232;168;182;0,89;18;Indonesia
International Journal on Electrical Engineering and Informatics;journal;ISSN 20856830;0,219;Q3;9;55;144;1252;65;144;0,32;22,76;Indonesia
Telkomnika;journal;ISSN 16936930, 2087278X;0,211;Q3;8;93;325;1608;116;324;0,27;17,29;Indonesia
Bulletin of Chemical Reaction Engineering and Catalysis;journal;ISSN 19782993;0,192;Q4;6;38;81;940;42;75;0,46;24,74;Indonesia
Biodiversitas;journal;ISSN 20854722, 1412033X;0,173;Q4;2;44;37;1918;9;37;0,24;43,59;Indonesia
Journal of ICT Research and Applications;journal;ISSN 23375787;0,169;Q3;3;16;40;388;11;40;0,35;24,25;Indonesia
International Journal of Electrical and Computer Engineering;journal;ISSN 20888708;0,164;Q3;2;177;108;3478;38;108;0,35;19,65;Indonesia
Indonesian Journal of Chemistry;journal;ISSN 14119420;0,157;Q4;3;43;131;1120;42;127;0,27;26,05;Indonesia
Kukila;journal;ISSN 02169223;0,154;Q4;2;9;34;155;6;34;0,19;17,22;Indonesia
Gadjah Mada International Journal of Business;journal;ISSN 14111128;0,149;Q3;2;11;35;452;11;35;0,4;41,09;Indonesia
International Journal of Technology;journal;ISSN 20869614;0,139;Q4;3;137;88;2085;14;81;0,16;15,22;Indonesia
Indonesian Journal of Applied Linguistics;journal;ISSN 23019468;0,126;Q3;1;28;70;790;7;70;0,08;28,21;Indonesia
Agrivita;journal;ISSN 01260537;0,119;Q4;1;35;72;796;6;72;0,08;22,74;Indonesia
Journal of Engineering and Technological Sciences;journal;ISSN 23375779;0,117;Q4;4;41;78;809;10;78;0,08;19,73;Indonesia
Biotropia;journal;ISSN 02156334;0,116;Q4;2;8;35;237;7;35;0,3;29,63;Indonesia
Proceedings of the 26th Pacific Asia Conference on Language, Information and Computation, PACLIC 2012;conference and proceeding;-;0,112;-;3;0;73;0;10;70;0;0;Indonesia
Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,112;-;3;0;169;0;13;166;0,08;0;Indonesia
Journal of Mathematical and Fundamental Sciences;journal;ISSN 23375760;0,109;Q4;4;23;81;460;12;81;0,06;20;Indonesia
Doctoral Student Consortia - Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,105;-;1;0;7;0;1;5;0,2;0;Indonesia
Work-in-Progress Poster (WIPP) Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,102;-;1;0;12;0;0;10;0;0;Indonesia
Critical Care and Shock;journal;ISSN 14107767;0,101;Q4;7;0;33;0;3;31;0,14;0;Indonesia
Al-Jami'ah;journal;ISSN 0126012X, 2338557X;0,101;Q4;0;2;34;86;0;32;0;43;Indonesia
Workshop Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,1;-;2;0;80;0;1;78;0,01;0;Indonesia
Bulletin of Chemical Reaction Engineering and Catalysis;journal;ISSN 19782993;0,282;Q3;6;35;59;816;53;57;0,75;23,31;Indonesia
Acta medica Indonesiana;journal;ISSN 01259326;0,258;Q2;15;56;163;0;127;152;0,76;0;Indonesia
Telkomnika;journal;ISSN 16936930, 2087278X;0,236;Q3;8;130;264;2416;142;262;0,5;18,58;Indonesia
International Journal on Electrical Engineering and Informatics;journal;ISSN 20856830;0,205;Q3;9;53;131;1158;88;131;0,62;21,85;Indonesia
Indonesian Journal of Chemistry;journal;ISSN 14119420;0,179;Q4;3;44;87;1075;30;83;0,36;24,43;Indonesia
Kukila;journal;ISSN 02169223;0,17;Q4;2;16;18;342;4;18;0,22;21,38;Indonesia
Journal of ICT Research and Applications;journal;ISSN 23375787;0,154;Q4;3;11;42;251;11;42;0,31;22,82;Indonesia
International Journal of Power Electronics and Drive Systems;journal;ISSN 20888694;0,146;Q3;6;88;116;1486;86;116;0,69;16,89;Indonesia
Journal of Engineering and Technological Sciences;journal;ISSN 23375779;0,132;Q4;4;39;55;749;17;55;0,28;19,21;Indonesia
Gadjah Mada International Journal of Business;journal;ISSN 14111128;0,122;Q4;2;5;46;165;4;44;0;33;Indonesia
