CA - A Cancer Journal for Clinicians;journal;ISSN 15424863, 00079235
Reviews of Modern Physics;journal;ISSN 00346861, 15390756
Annual Review of Immunology;journal;ISSN 07320582, 15453278
Cell;journal;ISSN 00928674, 10974172
Annual Review of Biochemistry;journal;ISSN 15454509, 00664154
Quarterly Journal of Economics;journal;ISSN 00335533, 15314650
Nature Genetics;journal;ISSN 10614036
Nature Reviews Genetics;journal;ISSN 14710056, 14710064
Nature Reviews Molecular Cell Biology;journal;ISSN 14710072, 14710080
Advances in Physics;journal;ISSN 14606976, 00018732
Chemical Reviews;journal;ISSN 00092665, 15206890
Nature;journal;ISSN 14764687, 00280836
Acta Crystallographica Section D: Biological Crystallography;journal;ISSN 13990047, 09074449
Annual Review of Neuroscience;book serie;ISSN 15454126, 0147006X
Annual Review of Cell and Developmental Biology;book serie;ISSN 15308995, 10810706
Physiological Reviews;journal;ISSN 15221210, 00319333
Nature Materials;journal;ISSN 14764660, 14761122
Econometrica;journal;ISSN 00129682, 14680262
Journal of Political Economy;journal;ISSN 00223808, 1537534X
Journal of Finance;journal;ISSN 15406261, 00221082
Journal of Economic Literature;journal;ISSN 00220515
Annual Review of Genetics;journal;ISSN 00664197, 15452948
Nature Reviews Cancer;journal;ISSN 1474175X
Annual Review of Astronomy and Astrophysics;journal;ISSN 15454282, 00664146
Cancer Cell;journal;ISSN 15356108
Nature Reviews Immunology;journal;ISSN 14741741, 14741733
Nature Immunology;journal;ISSN 15292908, 15292916
Nature Nanotechnology;journal;ISSN 17483387
Annual Review of Condensed Matter Physics;journal;ISSN 19475454, 19475462
Nature Physics;journal;ISSN 17452473
Annual Review of Pathology: Mechanisms of Disease;book serie;ISSN 15534006, 15534014
Nature Cell Biology;journal;ISSN 14657392
Cell Stem Cell;journal;ISSN 19345909
Genome Research;journal;ISSN 15495469, 10889051
Foundations and Trends in Machine Learning;journal;ISSN 19358237
Nature Photonics;journal;ISSN 17494885
Molecular Cell;journal;ISSN 10974164, 10972765
Nature Reviews Neuroscience;journal;ISSN 14710048, 1471003X
Immunity;journal;ISSN 10974180, 10747613
Lancet Oncology;journal;ISSN 14702045, 14745488
Genes and Development;journal;ISSN 15495477, 08909369
Nature Biotechnology;journal;ISSN 10870156
New England Journal of Medicine;journal;ISSN 00284793, 15334406
Annual Review of Plant Biology;book serie;ISSN 15435008
Review of Financial Studies;journal;ISSN 08939454, 14657368
Chemical Society Reviews;journal;ISSN 03060012, 14604744
Neuron;journal;ISSN 08966273
Science;journal;ISSN 00368075
Journal of Experimental Medicine;journal;ISSN 00221007
National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System;journal;ISSN 15518930, 15518922
Pharmacological Reviews;journal;ISSN 15210081, 00316997
Journal of Financial Economics;journal;ISSN 0304405X
Nature Structural and Molecular Biology;journal;ISSN 15459985, 15459993
Nature Neuroscience;journal;ISSN 10976256
Physics Reports;journal;ISSN 03701573
Lancet;journal;ISSN 01406736, 1474547X
Academy of Management Review;journal;ISSN 03637425
Review of Economic Studies;journal;ISSN 1467937X, 00346527
Trends in Cognitive Sciences;journal;ISSN 13646613
Lancet Neurology;journal;ISSN 14744422
Trends in Biochemical Sciences;journal;ISSN 01677640, 09680004
Annual Review of Psychology;journal;ISSN 00664308, 15452085
Nature Medicine;journal;ISSN 10788956
Progress in Materials Science;journal;ISSN 00796425
Accounts of Chemical Research;journal;ISSN 15204898, 00014842
American Economic Journal: Applied Economics;journal;ISSN 19457790, 19457782
Nature Methods;journal;ISSN 15487091, 15487105
Annual Review of Pharmacology and Toxicology;journal;ISSN 15454304, 03621642
Annual Review of Biophysics;journal;ISSN 1936122X
Nature Reviews Microbiology;journal;ISSN 17401526
Trends in Ecology and Ecolution;journal;ISSN 01695347
Annual Review of Marine Science;journal;ISSN 19410611, 19411405
Microbiology and Molecular Biology Reviews;journal;ISSN 10922172
American Political Science Review;journal;ISSN 15375943, 00030554
Progress in Polymer Science;journal;ISSN 00796700
Cell Metabolism;journal;ISSN 15504131
Trends in Cell Biology;journal;ISSN 09628924
Trends in Neurosciences;journal;ISSN 01662236
Annual Review of Microbiology;journal;ISSN 15453251, 00664227
American Economic Review;journal;ISSN 00028282
Reviews of Geophysics;journal;ISSN 87551209
Academy of Management Annals;journal;ISSN 19416520, 19416067
Rhinology. Supplement;journal;ISSN 10130047
Molecular Systems Biology;journal;ISSN 17444292
Journal of Cell Biology;journal;ISSN 00219525
Clinical Microbiology Reviews;journal;ISSN 08938512, 10986618
Lancet Infectious Diseases;journal;ISSN 14733099
Journal of Clinical Investigation;journal;ISSN 00219738
Trends in Genetics;journal;ISSN 01689525
Systematic Biology;journal;ISSN 1076836X, 10635157
Journal of the American Mathematical Society;journal;ISSN 10886834, 08940347
Nano Letters;journal;ISSN 15306992, 15306984
Academy of Management Journal;journal;ISSN 00014273
Developmental Cell;journal;ISSN 15345807
Journal of the American College of Cardiology;journal;ISSN 07351097
Administrative Science Quarterly;journal;ISSN 00018392
EMBO Journal;journal;ISSN 14602075, 02614189
Astronomy and Astrophysics Review;journal;ISSN 14320754, 09354956
Nature Chemistry;journal;ISSN 17554330, 17554349
Progress in Energy and Combustion Science;journal;ISSN 03601285
Reports on Progress in Physics;journal;ISSN 00344885, 13616633
Immunological Reviews;journal;ISSN 01052896, 1600065X
Endocrine Reviews;journal;ISSN 0163769X
Handbook of Social Economics;book serie;ISSN 15706435
Journal of Clinical Oncology;journal;ISSN 0732183X
Genome Biology;journal;ISSN 14747596
Psychological Bulletin;journal;ISSN 00332909
Surface Science Reports;journal;ISSN 01675729
American Economic Journal: Economic Policy;journal;ISSN 1945774X, 19457731
Annual Review of Materials Research;journal;ISSN 15454118, 15317331
Annual Review of Fluid Mechanics;journal;ISSN 00664189, 15454479
Vital and health statistics. Series 23, Data from the National Survey of Family Growth;journal;ISSN 02785234
Journal of Economic Perspectives;journal;ISSN 08953309
Current Opinion in Cell Biology;journal;ISSN 09550674
Annual Review of Economics;journal;ISSN 19411383
Science Translational Medicine;journal;ISSN 19466242, 19466234
JAMA Psychiatry;journal;ISSN 2168622X, 21686238
Annals of Mathematics;journal;ISSN 0003486X
Annual Review of Physiology;journal;ISSN 15451585, 00664278
Journal of the Royal Statistical Society. Series B: Statistical Methodology;journal;ISSN 14679868, 13697412
Circulation;journal;ISSN 00097322, 15244539
Strategic Management Journal;journal;ISSN 01432095, 10970266
Cell Host and Microbe;journal;ISSN 19313128
Cell Reports;journal;ISSN 22111247
Annals of Statistics;journal;ISSN 00905364
Annual Review of Medicine;journal;ISSN 1545326X, 00664219
Ecology Letters;journal;ISSN 1461023X, 14610248
Quarterly Reviews of Biophysics;journal;ISSN 14698994, 00335835
Journal of Management;journal;ISSN 01492063
Advances in Optics and Photonics;journal;ISSN 19438206
American Journal of Human Genetics;journal;ISSN 15376605, 00029297
PLoS Biology;journal;ISSN 15449173, 15457885
Journal of the European Economic Association;journal;ISSN 15424766, 15424774
Foundations and Trends in Computer Graphics and Vision;journal;ISSN 15722740
Inventiones Mathematicae;journal;ISSN 14321297, 00209910
FEMS Microbiology Reviews;journal;ISSN 01686445
Advanced Materials;journal;ISSN 09359648
Aldrichimica Acta;journal;ISSN 00025100
Annual Review of Physical Chemistry;book serie;ISSN 0066426X, 15451593
Trends in Immunology;journal;ISSN 14714981, 14714906
Current Opinion in Genetics and Development;journal;ISSN 0959437X
Nano Today;journal;ISSN 17480132
Organization Science;journal;ISSN 10477039, 15265455
Personality and Social Psychology Review;journal;ISSN 10888683, 15327957
American Economic Journal: Macroeconomics;journal;ISSN 19457715, 19457707
Journal of Accounting and Economics;journal;ISSN 01654101
Journal of Marketing;journal;ISSN 00222429, 15477185
Physical Review X;journal;ISSN 21603308
Foundations and Trends in Communications and Information Theory;journal;ISSN 15672328, 15672190
Trends in Plant Science;journal;ISSN 13601385
American Journal of Political Science;journal;ISSN 00925853, 15405907
IEEE Transactions on Pattern Analysis and Machine Intelligence;journal;ISSN 01628828
Nature Geoscience;journal;ISSN 17520894, 17520908
Nature Chemical Biology;journal;ISSN 15524469, 15524450
Nature Reviews Drug Discovery;journal;ISSN 14741776
Journal of the National Cancer Institute;journal;ISSN 00278874
Annual Review of Genomics and Human Genetics;book serie;ISSN 1545293X, 15278204
Proceedings of the National Academy of Sciences of the United States of America;journal;ISSN 00278424, 10916490
European Heart Journal;journal;ISSN 15229645, 0195668X
Acta Mathematica;journal;ISSN 00015962
Acta Numerica;journal;ISSN 09624929
Annual Review of Clinical Psychology;book serie;ISSN 15485951, 15485943
Molecular Biology and Evolution;journal;ISSN 07374038, 15371719
Astrophysical Journal, Supplement Series;journal;ISSN 00670049, 15384365
Current Opinion in Structural Biology;journal;ISSN 0959440X
ACS Nano;journal;ISSN 19360851, 1936086X
Review of Economics and Statistics;journal;ISSN 00346535, 15309142
American Journal of Psychiatry;journal;ISSN 0002953X
European Urology;journal;ISSN 1421993X, 03022838
Annual Review of Earth and Planetary Sciences;book serie;ISSN 00846597
Annual Review of Nuclear and Particle Science;journal;ISSN 01638998
Nucleic Acids Research;journal;ISSN 13624962, 03051048
Blood;journal;ISSN 00064971, 15280020
Journal of Marketing Research;journal;ISSN 00222437, 15477193
PLoS Genetics;journal;ISSN 15537404, 15537390
Annual Review of Entomology;journal;ISSN 15454487, 00664170
Bulletin of the American Meteorological Society;journal;ISSN 15200477, 00030007
Journal of Engineering Education;journal;ISSN 10694730
MIS Quarterly: Management Information Systems;journal;ISSN 02767783
Molecular Psychiatry;journal;ISSN 14765578, 13594184
Psychological Review;journal;ISSN 0033295X
Marketing Science;journal;ISSN 07322399, 1526548X
Annual Review of Ecology, Evolution, and Systematics;journal;ISSN 1543592X
Circulation Research;journal;ISSN 15244571, 00097330
JAMA - Journal of the American Medical Association;journal;ISSN 00987484
Archives of Computational Methods in Engineering;journal;ISSN 11343060
Political Analysis;journal;ISSN 10471987, 14764989
Nature Protocols;journal;ISSN 17542189
Brain;journal;ISSN 14602156, 00068950
Light: Science and Applications;journal;ISSN 20477538
Journal of Consumer Research;journal;ISSN 15375277, 00935301
Plant Cell;journal;ISSN 1532298X, 10404651
Energy and Environmental Sciences;journal;ISSN 17545692
Theoretical Economics;journal;ISSN 19336837, 15557561
Current Opinion in Neurobiology;journal;ISSN 09594388
Journal of Economic Growth;journal;ISSN 15737020, 13814338
Advanced Energy Materials;journal;ISSN 16146840, 16146832
Physics of the Dark Universe;journal;ISSN 22126864
Alzheimer's and Dementia;journal;ISSN 15525260, 15525279
Journal of the American Chemical Society;journal;ISSN 00027863, 15205126
Nature Climate Change;journal;ISSN 17586798, 1758678X
Current Opinion in Immunology;journal;ISSN 09527915
Annual Review of Phytopathology;book serie;ISSN 00664286
Biological Psychiatry;journal;ISSN 00063223
Living Reviews in Relativity;journal;ISSN 14338351
Duke Mathematical Journal;journal;ISSN 00127094
Trends in Molecular Medicine;journal;ISSN 14714914
