Title;Type;Issn
Nature Reviews Molecular Cell Biology;journal;ISSN 14710072, 14710080
Annual Review of Immunology;journal;ISSN 07320582, 15453278
Nature Reviews Genetics;journal;ISSN 14710056, 14710064
CA - A Cancer Journal for Clinicians;journal;ISSN 15424863, 00079235
Cell;journal;ISSN 00928674, 10974172
Annual Review of Astronomy and Astrophysics;journal;ISSN 15454282, 00664146
Nature Reviews Immunology;journal;ISSN 14741741, 14741733
Nature Reviews Cancer;journal;ISSN 1474175X
Annual Review of Biochemistry;journal;ISSN 15454509, 00664154
Reviews of Modern Physics;journal;ISSN 00346861, 15390756
Nature Genetics;journal;ISSN 10614036
Nature;journal;ISSN 14764687, 00280836
Nature Methods;journal;ISSN 15487091, 15487105
Nature Reviews Neuroscience;journal;ISSN 14710048, 1471003X
Nature Materials;journal;ISSN 14764660, 14761122
Quarterly Journal of Economics;journal;ISSN 00335533, 15314650
Nature Nanotechnology;journal;ISSN 17483387
Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics];journal;ISSN 08864691
Chemical Reviews;journal;ISSN 00092665, 15206890
Nature Biotechnology;journal;ISSN 10870156
Nature Photonics;journal;ISSN 17494885
Physiological Reviews;journal;ISSN 15221210, 00319333
Annual Review of Neuroscience;book serie;ISSN 15454126, 0147006X
Nature Reviews Microbiology;journal;ISSN 17401526
Immunity;journal;ISSN 10974180, 10747613
Academy of Management Annals;journal;ISSN 19416520, 19416067
Chemical Society Reviews;journal;ISSN 03060012, 14604744
National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System;journal;ISSN 15518930, 15518922
Lancet;journal;ISSN 01406736, 1474547X
New England Journal of Medicine;journal;ISSN 00284793, 15334406
Journal of Finance;journal;ISSN 15406261, 00221082
Genome Research;journal;ISSN 15495469, 10889051
Nature Cell Biology;journal;ISSN 14657392
Nature Medicine;journal;ISSN 10788956
Lancet Oncology;journal;ISSN 14702045, 14745488
Cancer Cell;journal;ISSN 15356108
Annual Review of Genetics;journal;ISSN 00664197, 15452948
Annual Review of Cell and Developmental Biology;book serie;ISSN 15308995, 10810706
Molecular Cell;journal;ISSN 10974164, 10972765
Annual Review of Pathology: Mechanisms of Disease;book serie;ISSN 15534006, 15534014
Nature Neuroscience;journal;ISSN 10976256
Nature Physics;journal;ISSN 17452473
Rhinology. Supplement;journal;ISSN 10130047
Nature Immunology;journal;ISSN 15292908, 15292916
Science;journal;ISSN 00368075
Cell Stem Cell;journal;ISSN 19345909
Annual Review of Plant Biology;book serie;ISSN 15435008
Annual Review of Condensed Matter Physics;journal;ISSN 19475454, 19475462
Annual Review of Psychology;journal;ISSN 00664308, 15452085
Nature Structural and Molecular Biology;journal;ISSN 15459985, 15459993
Econometrica;journal;ISSN 00129682, 14680262
Advances in Physics;journal;ISSN 14606976, 00018732
Progress in Materials Science;journal;ISSN 00796425
Nature Chemistry;journal;ISSN 17554330, 17554349
Cell Metabolism;journal;ISSN 15504131
Genes and Development;journal;ISSN 15495477, 08909369
Nature Reviews Drug Discovery;journal;ISSN 14741776
Accounts of Chemical Research;journal;ISSN 15204898, 00014842
Neuron;journal;ISSN 08966273
Annual Review of Marine Science;journal;ISSN 19410611, 19411405
Microbiology and Molecular Biology Reviews;journal;ISSN 10922172
Annual Review of Physiology;journal;ISSN 15451585, 00664278
Lancet Infectious Diseases;journal;ISSN 14733099
Lancet Neurology;journal;ISSN 14744422
Trends in Ecology and Ecolution;journal;ISSN 01695347
Journal of Experimental Medicine;journal;ISSN 00221007
Administrative Science Quarterly;journal;ISSN 00018392
Systematic Biology;journal;ISSN 1076836X, 10635157
Energy and Environmental Sciences;journal;ISSN 17545692
Annals of Mathematics;journal;ISSN 0003486X
Academy of Management Journal;journal;ISSN 00014273
Annual Review of Biophysics;journal;ISSN 1936122X
Trends in Biochemical Sciences;journal;ISSN 01677640, 09680004
Trends in Cognitive Sciences;journal;ISSN 13646613
Journal of the American College of Cardiology;journal;ISSN 07351097
Review of Financial Studies;journal;ISSN 08939454, 14657368
Journal of Financial Economics;journal;ISSN 0304405X
Genome Biology;journal;ISSN 14747596
Journal of Economic Literature;journal;ISSN 00220515
Annual Review of Ecology, Evolution, and Systematics;journal;ISSN 1543592X
Trends in Cell Biology;journal;ISSN 09628924
Nature Climate Change;journal;ISSN 17586798, 1758678X
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;ISSN 10575987, 15458601
Review of Economic Studies;journal;ISSN 1467937X, 00346527
Journal of Clinical Oncology;journal;ISSN 0732183X
Nature Protocols;journal;ISSN 17542189
Advanced Materials;journal;ISSN 09359648
Nano Letters;journal;ISSN 15306992, 15306984
Pharmacological Reviews;journal;ISSN 15210081, 00316997
Science Translational Medicine;journal;ISSN 19466242, 19466234
Annual Review of Microbiology;journal;ISSN 15453251, 00664227
Molecular Systems Biology;journal;ISSN 17444292
Reviews of Geophysics;journal;ISSN 87551209
Academy of Management Review;journal;ISSN 03637425
American Journal of Human Genetics;journal;ISSN 15376605, 00029297
Journal of Clinical Investigation;journal;ISSN 00219738
Clinical Microbiology Reviews;journal;ISSN 08938512, 10986618
Annual Review of Pharmacology and Toxicology;journal;ISSN 15454304, 03621642
NIH consensus and state-of-the-science statements;journal;ISSN 15530957, 15530779
Ecology Letters;journal;ISSN 1461023X, 14610248
Cell Reports;journal;ISSN 22111247
Advances in Optics and Photonics;journal;ISSN 19438206
Trends in Neurosciences;journal;ISSN 01662236
Progress in Polymer Science;journal;ISSN 00796700
Annual Review of Physical Chemistry;book serie;ISSN 0066426X, 15451593
Cell Host and Microbe;journal;ISSN 19313128
American Economic Journal: Applied Economics;journal;ISSN 19457790, 19457782
Nature Chemical Biology;journal;ISSN 15524469, 15524450
Progress in Energy and Combustion Science;journal;ISSN 03601285
Molecular Biology and Evolution;journal;ISSN 07374038, 15371719
Psychological Bulletin;journal;ISSN 00332909
Physics Reports;journal;ISSN 03701573
American Economic Review;journal;ISSN 00028282
Acta Numerica;journal;ISSN 09624929
Acta Mathematica;journal;ISSN 00015962
Journal of Cell Biology;journal;ISSN 00219525
Circulation;journal;ISSN 00097322, 15244539
Trends in Genetics;journal;ISSN 01689525
IEEE Transactions on Pattern Analysis and Machine Intelligence;journal;ISSN 01628828
Journal of Political Economy;journal;ISSN 00223808, 1537534X
Materials Science and Engineering: R: Reports;journal;ISSN 0927796X
Annual Review of Clinical Psychology;book serie;ISSN 15485951, 15485943
FEMS Microbiology Reviews;journal;ISSN 01686445
Nucleic Acids Research;journal;ISSN 13624962, 03051048
EMBO Journal;journal;ISSN 14602075, 02614189
Aldrichimica Acta;journal;ISSN 00025100
Journal of the Royal Statistical Society. Series B: Statistical Methodology;journal;ISSN 14679868, 13697412
European Urology;journal;ISSN 1421993X, 03022838
Developmental Cell;journal;ISSN 15345807
Reports on Progress in Physics;journal;ISSN 00344885, 13616633
Studies in Mycology;journal;ISSN 01660616
Trends in Immunology;journal;ISSN 14714981, 14714906
Nature Geoscience;journal;ISSN 17520894, 17520908
Living Reviews in Solar Physics;journal;ISSN 16144961
Annual Review of Genomics and Human Genetics;book serie;ISSN 1545293X, 15278204
The Lancet Global Health;journal;ISSN 2214109X
Personality and Social Psychology Review;journal;ISSN 10888683, 15327957
Bulletin of the American Meteorological Society;journal;ISSN 15200477, 00030007
Gastroenterology;journal;ISSN 15280012, 00165085
Geochemical Perspectives;journal;ISSN 22242759, 22237755
Political Analysis;journal;ISSN 10471987, 14764989
Journal of the American Chemical Society;journal;ISSN 00027863, 15205126
ACS Nano;journal;ISSN 19360851, 1936086X
Endocrine Reviews;journal;ISSN 0163769X
JAMA Psychiatry;journal;ISSN 2168622X, 21686238
Immunological Reviews;journal;ISSN 01052896, 1600065X
Current Opinion in Cell Biology;journal;ISSN 09550674
Organization Science;journal;ISSN 10477039, 15265455
Annual Review of Economics;journal;ISSN 19411383
European Heart Journal;journal;ISSN 15229645, 0195668X
MIS Quarterly: Management Information Systems;journal;ISSN 02767783
The Lancet Diabetes and Endocrinology;journal;ISSN 22138587
Proceedings of the National Academy of Sciences of the United States of America;journal;ISSN 00278424, 10916490
Materials Today;journal;ISSN 13697021
Annual Review of Medicine;journal;ISSN 1545326X, 00664219
Annual Review of Entomology;journal;ISSN 15454487, 00664170
Publications Mathématiques;journal;ISSN 00738301
Journal of Accounting and Economics;journal;ISSN 01654101
Light: Science and Applications;journal;ISSN 20477538
Molecular Psychiatry;journal;ISSN 14765578, 13594184
Applied Physics Reviews;journal;ISSN 19319401
Wiley Interdisciplinary Reviews: Computational Molecular Science;journal;ISSN 17590884, 17590876
Annals of Statistics;journal;ISSN 00905364
Journal of the American Mathematical Society;journal;ISSN 10886834, 08940347
Journal of Management;journal;ISSN 01492063
Journal of Marketing;journal;ISSN 00222429, 15477185
Acta Neuropathologica;journal;ISSN 14320533, 00016322
Psychological Science in the Public Interest, Supplement;journal;ISSN 15291006
Nature Communications;journal;ISSN 20411723
Astrophysical Journal, Supplement Series;journal;ISSN 00670049, 15384365
Nano Today;journal;ISSN 17480132
Gut;journal;ISSN 00175749, 14683288
Biological Reviews;journal;ISSN 14647931
JAMA - Journal of the American Medical Association;journal;ISSN 00987484
Advanced Energy Materials;journal;ISSN 16146840, 16146832
Blood;journal;ISSN 00064971, 15280020
Molecular Aspects of Medicine;journal;ISSN 00982997
Journal of the European Economic Association;journal;ISSN 15424766, 15424774
eLife;journal;ISSN 2050084X
